,x,y
66,16,5.097.926.520.140.040
67,14,4.074.137.674.483.510
68,55,2.203.943.798.370.410
69,14,34.497.672.838.859.500
70,86,3.033.574.714.491.040
71,62,1.654.771.388.882.870
72,12,38.082.383.352.896.800
73,21,15.337.727.988.139.300
74,41,18.926.374.708.011.200
75,78,28.780.743.803.221.900
76,98,39.194.594.248.707.800
77,70,3.671.853.495.570.760
78,96,3.361.891.867.942.860
79,30,11.191.036.253.357.800
80,84,3.773.186.616.650.830
81,75,233.514.308.104.523
82,23,10.745.704.318.511.300
83,86,41.262.121.548.796.300
84,78,2.529.939.767.029.550
85,80,16.836.007.139.526.500
86,56,18.594.717.933.514.000
87,73,25.574.791.141.960.200
88,9,17.786.008.687.448.200
89,83,333.842.838.102.043
90,56,23.964.092.227.471.800
91,22,12.849.105.898.043.600
92,69,2.848.753.539.944.350
93,93,3.427.586.548.079.960
94,50,15.842.743.759.666.300
95,15,-3.163.461.662.909.960
96,70,12.519.472.639.739.700
97,78,2.634.314.945.028.890
98,79,2.533.016.945.291.620
99,95,3.180.552.679.343.140
100,68,24.187.205.581.804.100
101,82,31.295.016.267.963.800
102,56,19.606.150.163.400.700
103,17,5.816.114.274.156.990
104,93,3.266.704.714.322.800
105,10,30.519.006.229.904.300
106,1,-11.203.022.558.765.900
107,58,2.744.859.822.804.350
108,38,10.956.153.757.210.700
109,76,25.203.778.444.993.900
110,40,1.728.289.403.110.270
111,79,28.895.399.292.975.700
112,17,21.662.624.601.353
113,36,15.044.052.960.076.700
114,26,6.293.728.545.795.230
115,26,7.950.306.150.860.430
116,62,12.945.432.461.184.900
117,37,1.003.675.121.511.660
118,51,1.628.608.746.529.940
119,7,9.398.679.053.838.130
120,72,2.686.005.982.023.740
121,18,8.609.186.600.139.990
122,86,3.784.108.562.798.980
123,31,14.256.535.499.359.700
124,90,3.492.105.106.296.030
125,69,1.929.244.136.456.940
126,67,1.904.317.886.369.560
127,19,6.571.582.452.951.890
128,84,25.512.526.644.453.900
129,53,26.251.844.476.792.900
130,28,10.785.290.668.465.900
131,72,24.604.689.099.238.500
132,96,3.309.349.774.803.070
133,90,2.926.481.369.798.860
134,20,1.861.927.804.825.100
135,64,2.174.571.952.935.440
136,92,3.828.567.738.378.420
137,38,15.174.588.053.569.800
138,79,28.320.346.013.566.900
139,1,7.901.113.124.974.840
140,91,31.872.653.538.486.200
141,27,8.973.734.029.646.390
142,72,29.813.062.960.335.500
143,16,26.795.752.431.928.200
144,63,11.581.732.814.254.500
145,48,1.764.358.642.996.590
146,57,5.769.710.095.207.800
147,98,3.842.874.845.588.330
148,65,2.604.916.697.310.970
149,84,2.345.597.428.239.800
150,28,2.090.479.873.900.050
151,13,-5.413.379.976.709.320
152,49,17.509.300.821.950.400
153,55,1.934.185.181.708.970
154,72,21.393.543.159.585.600
155,80,2.095.854.777.689.130
156,30,15.302.083.653.304.700
157,5,9.905.461.015.113.860
158,90,2.395.277.225.943.720
159,34,8.932.878.964.042.390
160,53,17.757.940.118.227.100
161,12,7.373.157.300.787.230
162,14,9.927.940.498.817.970
163,49,1.921.062.715.941.680
164,77,3.226.924.727.377.520
165,8,17.334.637.462.487.900
166,70,22.763.624.223.828.200
167,26,9.335.261.959.347.750
168,17,27.937.681.413.010.200
169,32,1.212.782.517.711.220
170,18,1.872.672.301.034.960
171,98,3.369.303.862.412.430
172,43,13.799.613.062.239.000
173,95,2.382.545.333.100.120
174,35,9.159.390.179.784.170
175,82,26.659.766.758.185.400
176,97,3.567.827.606.460.370
177,76,209.029.547.760.108
178,66,30.144.399.181.779.200
179,91,3.425.442.978.342.220
180,87,29.589.563.892.766.600
181,82,30.637.212.826.256.600
182,28,10.232.019.289.600.700
183,98,347.856.604.052.823
184,3,4.152.242.578.441.500
185,25,10.093.774.434.819.800
186,36,14.852.555.060.152.600
187,87,30.558.744.529.326.100
188,22,13.877.102.315.582.900
189,62,15.038.340.503.167.100
190,40,15.379.590.368.416.300
191,35,1.045.171.318.096.400
192,89,28.432.678.414.236.200
193,69,18.984.826.031.236.200
194,52,1.432.651.526.305.680
195,56,2.200.083.132.603.210
196,44,1.610.780.911.317.800
197,100,4.109.341.978.043.310
198,78,2.115.254.037.792.300
199,50,17.855.380.987.046.900
200,46,16.315.452.958.010.500
201,16,7.930.927.112.529.790
202,5,-117.473.356.100.593
203,21,5.218.543.469.991.740
204,3,29.943.181.381.363.800
205,84,196.286.765.051.996
206,96,3.438.419.672.102.560
207,69,3.087.157.738.232.630
208,58,22.113.592.518.333.300
209,70,27.704.247.507.854.600
210,5,35.739.767.550.355.100
211,85,2.578.890.272.987.980
212,8,11.060.954.817.470.200
213,53,1.694.139.711.116.160
214,75,2.322.497.667.010.150
215,53,16.971.518.427.023.000
216,11,5.109.607.812.385.430
217,54,18.880.281.365.983.400
218,10,-6.614.717.135.882.480
219,38,13.462.735.579.508.300
220,100,3.122.919.203.562.940
221,23,22.184.309.374.945.000
222,17,-15.779.646.168.523.000
223,10,12.567.513.241.541.000
224,91,22.995.166.787.085.100
225,79,23.477.871.094.142.300
226,54,20.874.240.336.021.500
227,34,8.339.713.343.687.860
228,15,-6.413.183.018.956.910
229,16,10.852.981.275.465.400
230,34,976.081.520.910.196
231,35,13.094.078.371.905.600
232,31,72.538.669.975.549.000
233,26,9.744.143.039.229.970
234,22,5.685.362.665.884.210
235,15,11.070.567.688.463.200
236,47,1.967.987.255.689.210
237,96,37.471.179.366.403.000
238,92,29.595.009.715.076.000
239,79,20.156.899.125.702.300
240,40,8.865.857.266.587.630
241,19,3.207.904.497.574.680
242,19,10.279.300.674.532.700
243,57,2.073.275.711.128.820
244,18,8.787.481.504.129.760
245,87,4.027.566.605.105.610
246,58,2.330.646.920.928.720
247,28,10.948.796.425.240.300
248,34,1.295.311.640.394.340
249,56,23.145.880.633.446.300
250,32,953.036.961.709.065
251,9,10.655.826.757.458.100
252,22,79.017.425.097.285.400
253,47,14.793.816.492.418.900
254,2,4.362.214.399.630.550
255,6,7.016.511.420.280.630
256,25,3.169.851.273.893.970
257,64,2.687.328.859.640.420
258,95,3.096.155.280.312.540
259,64,23.411.250.427.725.400
260,51,18.584.470.582.046.200
261,39,15.867.298.984.083.500
262,69,2.026.166.943.341.070
263,88,3.334.152.582.085.380
264,75,2.756.454.288.624.700
265,51,1.893.455.065.093.720
266,97,3.818.904.736.347.760
267,60,2.330.651.665.856.420
268,23,7.163.088.364.001.450
269,13,13.471.331.202.283.200
270,51,17.582.016.688.904.700
271,14,1.605.928.571.465.260
272,57,182.871.854.775.404
273,17,9.694.753.557.656.480
274,13,565.039.834.557.949
275,57,20.075.557.808.863.900
276,97,31.040.208.317.848.100
277,98,4.495.055.636.089.430
278,36,18.653.258.820.541.600
279,97,4.053.127.421.382.070
280,94,3.952.811.821.935.960
281,12,8.959.818.278.306.000
282,64,27.053.638.246.801.800
283,78,28.111.458.428.846.800
284,47,22.772.958.804.796.800
285,94,29.391.425.515.858.200
286,28,15.958.505.735.532.300
287,66,2.861.153.274.418.950
288,40,15.594.991.955.605.900
289,95,3.247.666.395.301.190
290,85,2.889.602.583.169.000
291,45,15.842.800.434.577.200
292,41,14.837.055.326.340.500
293,19,51.550.411.777.799
294,38,13.526.433.338.125.800
295,13,7.206.440.665.037.810
296,12,49.152.219.300.447.200
297,61,1.928.097.198.367.640
298,33,62.389.114.477.837.400
299,54,15.772.583.312.913.800
